tambon_code,dist_city_km,nearest_city,nearest_city_prov
100101,5.944,บางกรวย,นนทบุรี
100102,7.015,บางกรวย,นนทบุรี
100103,6.442,บางกรวย,นนทบุรี
100104,6.583,บางกรวย,นนทบุรี
100105,5.941,บางกรวย,นนทบุรี
100106,6.176,บางกรวย,นนทบุรี
100107,5.898,บางกรวย,นนทบุรี
100108,5.442,บางกรวย,นนทบุรี
100109,5.049,บางกรวย,นนทบุรี
100110,5.617,บางกรวย,นนทบุรี
100111,5.558,บางกรวย,นนทบุรี
100112,4.831,บางกรวย,นนทบุรี
100201,5.588,บางกรวย,นนทบุรี
100202,4.568,บางกรวย,นนทบุรี
100203,6.667,บางกรวย,นนทบุรี
100204,7.083,บางกรวย,นนทบุรี
100206,5.974,บางกรวย,นนทบุรี
100301,24.968,ฉะเชิงเทรา,ฉะเชิงเทรา
100302,22.204,สนั่นรักษ์,ปทุมธานี
100303,15.926,ลาดสวาย,ปทุมธานี
100304,17.35,สนั่นรักษ์,ปทุมธานี
100305,21.161,ลาดสวาย,ปทุมธานี
100306,17.034,ลาดสวาย,ปทุมธานี
100307,24.866,ลาดสวาย,ปทุมธานี
100308,23.385,ฉะเชิงเทรา,ฉะเชิงเทรา
100401,8.405,พระประแดง,สมุทรปราการ
100402,7.222,พระประแดง,สมุทรปราการ
100403,7.562,พระประแดง,สมุทรปราการ
100404,7.57,พระประแดง,สมุทรปราการ
100405,7.895,พระประแดง,สมุทรปราการ
100502,9.704,คูคต,ปทุมธานี
100508,8.514,คูคต,ปทุมธานี
100601,15.759,นนทบุรี,นนทบุรี
100608,14.347,ปู่เจ้าสมิงพราย,สมุทรปราการ
100701,8.283,บางกรวย,นนทบุรี
100702,9.024,บางกรวย,นนทบุรี
100703,9.038,พระประแดง,สมุทรปราการ
100704,8.694,พระประแดง,สมุทรปราการ
100801,7.794,บางกรวย,นนทบุรี
100802,7.391,บางกรวย,นนทบุรี
100803,7.098,บางกรวย,นนทบุรี
100804,6.752,บางกรวย,นนทบุรี
100805,6.429,บางกรวย,นนทบุรี
100905,7.342,ปู่เจ้าสมิงพราย,สมุทรปราการ
100910,5.705,ปู่เจ้าสมิงพราย,สมุทรปราการ
101001,17.498,คูคต,ปทุมธานี
101002,19.636,ลาดสวาย,ปทุมธานี
101101,19.968,ปากน้ำสมุทรปราการ,สมุทรปราการ
101102,20.238,ปู่เจ้าสมิงพราย,สมุทรปราการ
101103,22.595,ปากน้ำสมุทรปราการ,สมุทรปราการ
101104,25.629,ลาดสวาย,ปทุมธานี
101105,26.978,ปากน้ำสมุทรปราการ,สมุทรปราการ
101106,24.451,ฉะเชิงเทรา,ฉะเชิงเทรา
101203,4.402,พระประแดง,สมุทรปราการ
101204,2.586,พระประแดง,สมุทรปราการ
101301,7.636,บางกรวย,นนทบุรี
101302,7.977,บางกรวย,นนทบุรี
101303,8.637,พระประแดง,สมุทรปราการ
101401,9.272,บางกรวย,นนทบุรี
101406,7.907,บางกรวย,นนทบุรี
101501,7.464,บางกรวย,นนทบุรี
101502,8.034,บางกรวย,นนทบุรี
101503,8.778,พระประแดง,สมุทรปราการ
101504,8.089,พระประแดง,สมุทรปราการ
101505,9.17,พระประแดง,สมุทรปราการ
101506,7.345,พระประแดง,สมุทรปราการ
101507,7.191,พระประแดง,สมุทรปราการ
101601,6.623,บางกรวย,นนทบุรี
101602,7.371,บางกรวย,นนทบุรี
101701,12.381,บางกรวย,นนทบุรี
101702,11.848,พระประแดง,สมุทรปราการ
101704,11.676,นนทบุรี,นนทบุรี
101801,8.122,บางกรวย,นนทบุรี
101802,8.59,พระประแดง,สมุทรปราการ
101803,7.106,พระประแดง,สมุทรปราการ
101804,7.83,พระประแดง,สมุทรปราการ
101901,4.043,บางกรวย,นนทบุรี
101902,2.288,บางกรวย,นนทบุรี
101903,4.85,บางกรวย,นนทบุรี
101904,6.184,บางกรวย,นนทบุรี
101905,5.889,บางกรวย,นนทบุรี
101907,7.54,บางกรวย,นนทบุรี
102004,4.987,บางกรวย,นนทบุรี
102005,5.354,บางกรวย,นนทบุรี
102006,3.066,บางกรวย,นนทบุรี
102007,4.534,บางกรวย,นนทบุรี
102009,3.189,บางกรวย,นนทบุรี
102105,14.689,พระประแดง,สมุทรปราการ
102107,13.857,พระประแดง,สมุทรปราการ
102201,10.805,บางกรวย,นนทบุรี
102202,9.411,บางกรวย,นนทบุรี
102206,8.305,บางกรวย,นนทบุรี
102207,7.616,บางกรวย,นนทบุรี
102208,8.643,บางกรวย,นนทบุรี
102209,8.733,บางกรวย,นนทบุรี
102210,7.437,บางกรวย,นนทบุรี
102302,7.426,อ้อมน้อย,สมุทรสาคร
