จังหวัดชุมพร|2141|2049|2388|2243|2417|2322|2538|2453|2649|2527|2700|2478|2830|2682|3010|2778|3134|2861|3333|3097|3234|3029|3148|2866|3216|2967|3250|2990|3198|3045|3101|2915|3185|3097|3173|3066|3065|2799|3042|2755|3066|2856|3203|3121|3139|3145|3460|3394|3874|3809|3872|3784|3871|3768|3567|3443|3505|3458|3633|3620|3694|3571|3694|3551|3621|3632|3385|3320|3430|3412|3585|3530|3695|3574|3615|3601|3679|3628|3720|3649|3834|3696|3975|3691|3791|3830|3722|3645|3881|3940|3866|3934|3805|3923|3795|3948|3622|3996|4113|4140|3969|4246|3887|3986|3890|3971|4104|4333|3812|4117|3752|3970|3562|3839|3613|3898|3354|3588|3161|3377|3206|3343|3041|3158|2947|3252|2708|3019|2411|2758|2147|2486|2092|2401|2080|2390|1839|2154|1790|2103|1552|1896|1583|1844|1463|1826|1246|1637|1182|1491|1168|1486|1050|1304|941|1239|859|1207|831|1127|746|1067|625|872|691|996|657|959|582|924|537|787|470|781|429|683|335|622|315|550|273|462|187|402|166|336|149|285|100|208|72|153|55|120|45|88|40|71|31|54|23|30|75|108|0|0|0|1781|1325|3106|1197|1057|2254|120|60|180|251405|258074|509479|
อำเภอเมืองชุมพร|405|368|427|412|437|434|470|440|458|445|454|431|463|459|506|513|567|500|624|556|597|535|550|505|549|516|558|537|549|561|552|520|555|516|548|535|552|473|534|516|557|532|786|563|854|577|855|609|807|738|755|657|765|680|723|636|656|657|679|668|672|642|691|655|669|660|606|587|617|597|613|617|637|620|708|651|665|653|669|653|650|674|718|669|641|698|643|712|744|679|695|674|706|687|732|758|667|750|766|803|722|794|711|773|692|769|725|829|677|784|744|728|627|736|646|692|586|634|604|584|589|597|566|547|525|601|471|515|403|530|370|418|354|394|364|424|318|387|319|380|306|339|297|372|273|366|247|339|206|274|204|302|199|208|158|231|178|224|148|196|152|200|110|167|111|192|115|195|111|164|86|147|82|151|78|138|64|120|72|99|53|84|29|71|32|61|32|60|18|50|14|25|9|24|14|12|5|18|6|16|4|7|8|16|0|0|0|89|24|113|59|60|119|6|1|7|45889|46597|92486|
ตำบลปากน้ำ|27|34|34|33|29|38|46|29|32|35|36|33|43|42|45|33|44|48|54|33|48|33|54|43|38|43|37|38|42|47|41|37|65|36|53|49|46|36|36|46|43|44|39|56|39|44|49|55|57|63|42|53|59|44|38|57|59|46|50|55|54|46|46|62|59|56|51|49|52|54|47|51|46|56|69|50|64|50|53|55|53|57|55|62|75|62|56|54|64|46|66|56|53|54|56|50|40|76|62|51|56|52|57|52|47|62|52|58|44|75|42|56|63|49|53|57|44|48|44|41|48|44|37|41|38|53|43|57|34|42|22|31|32|30|28|44|24|18|33|32|27|26|22|29|15|25|16|24|11|12|10|13|10|11|7|10|7|15|6|8|10|10|5|7|4|11|6|13|4|8|3|10|3|6|4|6|4|4|2|6|2|5|0|4|3|3|0|2|1|2|1|1|0|1|0|0|0|0|0|0|0|1|2|1|0|0|0|0|0|0|5|4|9|0|0|0|3477|3600|7077|
ตำบลบางหมาก|23|33|27|30|29|30|34|38|38|39|35|33|27|33|41|40|41|37|38|42|45|35|51|31|43|36|42|50|39|48|33|47|41|34|35|38|42|31|34|38|38|41|40|32|43|44|48|45|47|58|50|57|34|49|53|56|42|48|55|54|47|33|51|51|49|55|29|35|50|53|50|47|50|45|41|56|67|53|63|57|55|55|58|51|52|48|52|67|61|48|49|52|58|52|52|58|48|56|69|70|53|58|51|64|43|56|52|65|54|60|55|56|49|59|47|45|47|39|55|49|34|48|53|35|30|47|33|30|29|36|31|33|23|25|23|31|18|30|26|38|31|25|29|31|23|37|23|34|16|30|16|22|15|24|10|24|23|22|14|15|8|20|6|11|5|18|14|23|8|18|13|7|4|14|3|10|4|11|5|5|3|4|2|5|3|5|1|5|0|3|0|1|0|1|1|0|0|1|0|0|2|0|0|0|0|0|0|89|24|113|6|5|11|0|0|0|3422|3628|7050|
ตำบลนาทุ่ง|12|7|17|19|13|13|26|17|18|14|19|13|21|18|13|23|15|18|25|15|15|22|19|21|16|14|25|18|20|23|21|19|13|21|20|18|16|19|21|17|10|15|21|21|18|21|27|27|22|19|21|22|20|29|26|32|28|30|11|15|21|30|31|16|27|10|18|28|18|25|27|23|21|23|18|23|23|26|32|26|23|21|30|27|26|33|23|22|34|16|22|19|16|29|29|40|14|25|33|20|29|30|26|29|19|31|27|36|24|30|29|26|21|24|28|19|24|21|29|20|18|20|22|18|20|19|15|19|10|19|18|22|11|20|17|18|13|19|11|14|15|20|10|17|10|8|11|17|11|20|13|12|6|9|5|4|9|5|7|7|5|6|6|4|3|10|4|11|3|5|1|1|1|5|4|7|0|6|4|2|1|1|0|5|0|2|2|3|0|1|1|0|1|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|5|2|7|0|0|0|1604|1709|3313|
ตำบลนาชะอัง|34|19|33|28|26|37|34|33|35|39|37|31|25|45|39|39|41|42|47|49|41|35|34|41|44|32|48|37|38|45|46|44|29|36|24|34|41|42|35|32|39|36|36|42|35|37|45|45|54|51|30|38|56|54|48|44|37|55|36|47|55|38|54|44|47|47|54|45|44|35|39|39|45|55|52|50|48|43|42|41|53|51|45|61|51|55|45|59|52|56|62|63|57|55|58|62|61|58|50|59|67|53|53|65|41|50|52|72|42|52|53|58|50|71|46|52|55|60|49|46|38|42|28|38|45|57|31|34|28|32|36|47|28|46|44|43|26|43|26|37|25|32|23|30|18|35|21|33|15|20|15|28|20|16|19|18|9|20|19|17|17|20|8|14|11|17|8|11|8|13|9|9|13|15|9|11|4|10|3|8|6|11|3|6|4|11|3|6|2|3|1|1|1|2|2|2|0|3|0|2|0|0|1|4|0|0|0|0|0|0|10|13|23|1|1|2|3307|3645|6952|
ตำบลตากแดด|36|25|39|41|32|34|33|30|34|22|24|30|28|34|35|28|42|34|37|30|44|33|36|31|43|33|33|26|37|39|38|37|38|38|43|38|30|42|52|34|55|38|52|39|36|35|35|34|45|60|51|47|54|60|51|39|40|37|36|45|31|54|46|52|44|43|43|37|45|43|44|53|49|45|44|45|44|45|49|49|50|52|44|43|36|66|46|56|40|48|43|42|48|63|48|56|46|67|51|56|48|76|55|64|55|59|48|63|55|43|47|38|48|57|40|59|39|37|55|41|50|41|41|47|46|47|37|48|33|48|35|30|21|30|33|37|27|25|26|30|16|28|17|22|19|40|17|23|21|25|19|26|11|13|6|15|20|15|9|16|8|15|10|16|12|17|9|10|8|13|9|12|5|10|4|8|6|10|8|11|6|5|3|9|4|5|3|6|2|6|1|3|1|1|2|0|1|3|0|4|0|1|0|1|0|0|0|0|0|0|6|5|11|1|0|1|3183|3422|6605|
ตำบลบางลึก|48|34|44|39|38|49|49|48|46|45|39|36|56|36|50|52|60|42|60|61|66|54|61|56|44|59|61|58|70|65|60|40|62|58|42|44|58|43|45|60|61|47|40|40|43|45|64|40|54|68|64|69|68|69|72|56|46|66|63|66|60|79|67|58|57|75|55|60|56|70|61|60|65|61|70|59|64|71|61|62|68|74|74|66|77|67|74|78|75|69|58|66|60|78|66|69|70|57|68|83|70|62|58|67|57|64|61|84|63|72|65|61|41|71|76|70|54|61|47|64|58|73|60|76|47|60|39|50|49|57|38|39|48|34|35|27|42|44|30|40|33|40|37|39|28|27|19|27|24|28|18|28|19|18|16|25|16|20|13|27|17|20|12|19|6|16|14|17|6|17|4|19|14|19|7|10|7|8|10|14|5|10|3|5|2|7|1|1|3|3|3|7|0|2|1|2|0|0|0|3|0|1|1|0|0|0|0|0|0|0|3|5|8|1|0|1|4321|4567|8888|
ตำบลหาดพันไกร|20|19|24|22|31|17|23|27|32|26|31|30|23|26|28|34|41|25|39|37|33|35|28|31|30|32|29|40|43|25|30|32|23|30|35|34|33|29|35|34|26|33|29|29|38|34|32|38|46|48|45|32|43|38|37|46|46|42|35|39|29|34|50|34|33|38|39|35|30|33|33|39|45|33|42|47|34|36|48|35|41|48|40|37|35|32|40|50|39|44|43|30|46|42|44|57|46|35|51|53|48|46|37|49|46|58|38|40|39|37|38|43|26|25|36|53|43|45|35|33|33|37|23|40|36|31|33|45|12|38|15|23|20|24|22|27|24|19|13|19|22|16|18|21|17|28|11|19|22|22|15|25|16|12|13|18|10|19|11|10|5|12|5|15|5|10|8|10|10|13|8|6|3|16|11|9|3|11|2|9|4|6|2|1|3|6|2|2|2|4|1|1|2|7|0|1|0|2|0|2|0|2|0|1|0|0|0|0|0|0|3|0|3|0|0|0|2647|2824|5471|
ตำบลวังไผ่|18|14|21|19|23|17|17|19|20|18|19|17|21|18|23|28|21|24|25|23|18|21|27|21|24|23|18|18|24|18|18|18|18|30|23|22|23|12|24|17|21|26|14|30|13|20|19|19|16|24|19|28|30|28|15|28|27|28|29|29|28|26|20|23|18|25|27|19|19|19|17|28|32|28|28|27|22|22|26|20|18|28|30|28|15|25|24|22|27|30|21|25|29|27|33|26|18|28|26|23|26|29|23|30|23|19|32|23|26|27|29|25|22|33|19|24|17|20|18|21|24|16|23|19|26|23|16|19|10|10|17|10|10|18|15|17|9|13|11|5|11|9|13|11|7|9|5|8|5|10|7|10|5|4|6|5|7|7|3|6|1|5|6|6|2|3|2|8|2|7|0|1|3|1|1|7|4|5|3|4|2|4|0|4|1|0|1|3|0|1|0|1|0|0|2|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|2|2|4|0|0|0|1603|1701|3304|
