จังหวัดอำนาจเจริญ|1367|1301|1446|1346|1672|1548|1743|1673|1724|1538|1866|1723|1991|1931|2012|1778|1939|1930|2067|1991|2168|2078|2272|2157|2352|2239|2183|2145|2180|2078|2289|2174|2358|2177|2428|2172|2317|2252|2337|2160|2201|2107|2177|2167|2100|2196|2339|2436|2503|2430|2687|2699|2821|2694|2892|2847|2917|2764|2962|2781|2984|2771|3013|2754|2958|2683|2917|2528|2649|2458|2751|2471|2574|2500|2606|2387|2680|2535|2668|2507|2727|2635|2808|2852|2909|2737|2988|2853|2900|2899|2812|2795|3008|2792|2937|2910|2827|3087|3210|3321|3056|3304|3169|3303|3020|3280|3138|3388|3045|3204|3325|3397|2906|3017|2853|2969|2614|2845|2704|2792|2481|2592|2284|2451|2163|2349|2122|2292|2029|2284|1767|2067|1683|1967|1763|1866|1529|1608|1426|1624|1326|1486|1228|1503|1239|1470|1130|1408|1076|1275|860|1116|790|1037|715|894|638|805|571|718|494|659|433|635|447|593|315|524|299|494|265|456|189|381|173|348|146|238|130|198|107|218|114|175|65|111|55|80|50|74|34|60|18|47|19|20|10|16|7|18|2|12|30|22|0|0|0|238|122|360|352|417|769|28|15|43|185906|188231|374137|
อำเภอเมืองอำนาจเจริญ|341|375|370|356|453|440|448|445|441|365|480|470|517|512|547|464|491|493|526|491|531|518|559|562|610|550|544|510|557|537|527|545|602|537|623|544|599|570|602|516|548|555|567|528|550|567|576|636|657|614|658|714|778|693|781|725|787|710|777|753|820|700|796|709|832|695|752|667|717|650|746|671|691|688|734|657|735|689|749|654|704|686|761|733|755|735|791|720|787|715|722|724|795|783|754|731|701|804|835|846|819|923|779|840|775|857|805|901|828|857|891|910|801|816|771|774|710|723|741|748|681|714|592|647|592|610|552|641|524|593|481|510|443|510|458|464|401|401|379|363|352|369|311|357|325|378|264|361|254|316|234|277|195|265|182|241|151|205|127|183|113|159|99|138|105|142|68|126|58|125|61|107|55|83|39|78|32|58|30|52|30|49|23|43|14|26|13|24|6|20|8|16|3|13|3|2|2|5|0|7|1|0|5|3|0|0|0|46|19|65|66|46|112|2|2|4|48524|48649|97173|
ตำบลบุ่ง|11|8|16|18|21|16|14|13|12|16|18|20|16|16|24|14|22|15|18|16|22|24|27|23|23|20|20|16|18|16|32|21|15|19|22|27|23|21|28|26|23|13|19|17|19|30|23|29|15|20|20|21|18|25|24|20|35|35|25|23|31|24|25|17|28|17|21|33|21|26|25|28|25|31|31|23|24|24|20|22|29|35|25|22|22|20|33|30|28|25|31|32|24|26|24|25|21|29|34|26|29|36|28|27|22|40|28|31|32|19|26|26|31|29|27|22|15|35|23|27|33|29|16|19|16|21|24|15|22|19|15|18|12|17|13|19|12|16|11|13|6|7|7|6|10|12|11|9|10|13|11|5|2|5|2|8|6|4|3|0|5|5|1|4|6|6|2|2|2|2|1|1|2|1|2|3|0|0|1|0|2|0|0|0|0|0|0|1|0|0|0|2|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|46|19|65|9|7|16|0|0|0|1728|1715|3443|
ตำบลไก่คำ|28|31|43|31|40|34|27|32|35|33|43|37|38|46|39|32|31|40|45|40|52|36|44|43|47|46|47|41|56|47|42|62|46|46|55|55|53|48|60|44|45|47|50|47|41|51|33|51|64|61|53|66|65|68|83|58|58|67|62|53|66|60|63|53|66|61|67|49|68|64|61|55|49|54|54|39|56|67|58|48|59|38|59|43|66|61|72|59|62|68|73|59|57|64|73|64|43|75|73|75|62|69|61|76|72|71|78|77|75|71|77|68|74|84|57|61|59|80|68|61|61|53|51|55|49|42|34|42|35|51|53|46|36|36|30|38|34|34|28|24|29|40|26|23|29|28|20|30|13|26|10|28|24|21|12|22|17|28|11|15|8|11|7|8|12|6|9|12|4|13|2|16|6|9|2|5|1|8|3|5|4|2|1|1|0|1|0|0|0|2|1|2|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|5|3|8|1|0|1|4022|4053|8075|
ตำบลนาจิก|12|15|20|11|16|23|18|14|11|17|19|16|15|26|30|17|22|22|28|14|25|17|19|29|17|21|18|25|18|28|23|18|36|23|29|24|32|23|22|18|23|20|22|27|18|25|21|25|35|23|28|29|27|29|23|24|36|40|42|19|39|29|27|28|28|28|32|37|24|27|35|26|35|32|35|29|29|39|26|25|35|41|44|34|38|30|26|26|33|24|28|34|33|54|37|42|33|33|39|41|40|60|37|35|45|37|56|53|26|41|47|45|35|30|39|32|28|35|25|34|27|29|27|28|32|34|24|29|27|27|20|21|24|18|26|30|21|11|19|16|23|23|13|13|13|22|10|13|7|15|7|10|9|9|12|9|6|4|7|6|4|7|2|5|4|9|1|3|2|4|3|3|1|1|0|3|6|1|5|4|1|6|2|3|4|1|1|0|0|1|0|1|0|0|2|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2131|2143|4274|
ตำบลปลาค้าว|18|26|19|25|22|24|27|25|22|14|35|28|19|27|32|17|28|21|19|24|24|39|37|27|30|32|31|32|24|36|37|18|32|32|36|29|28|32|32|30|41|30|30|34|32|36|35|37|40|36|44|43|39|48|53|38|42|34|40|45|36|33|35|42|45|43|37|36|39|42|37|35|29|53|47|42|47|39|36|30|30|37|43|42|49|30|34|40|39|46|38|39|44|27|45|48|37|43|47|45|57|54|55|52|49|45|50|63|52|51|62|61|42|38|48|41|52|33|36|43|40|51|38|41|27|28|42|28|29|32|25|24|26|39|24|26|21|23|19|22|21|26|14|27|25|23|26|27|11|22|17|27|10|21|14|16|6|9|11|20|10|12|7|10|11|15|8|9|5|3|4|6|4|10|4|8|3|4|4|4|3|6|3|4|0|3|1|2|0|2|2|2|0|2|0|0|0|1|0|0|1|0|1|0|0|0|0|0|0|0|2|1|3|0|0|0|2764|2828|5592|
ตำบลเหล่าพรวน|12|15|12|15|18|18|11|22|14|14|11|23|21|29|25|21|15|16|25|23|21|21|22|22|22|19|27|21|23|29|32|34|20|21|28|27|29|29|28|33|16|26|32|18|25|27|23|30|33|23|27|27|41|30|30|28|32|26|27|28|44|24|27|34|23|26|20|16|31|27|29|33|34|29|30|29|22|25|24|30|28|27|33|24|34|35|38|23|34|23|30|48|39|23|34|35|28|42|37|30|38|32|24|44|23|34|36|37|29|38|30|41|23|32|36|33|34|23|27|26|28|20|25|18|20|30|20|23|21|22|16|22|21|16|14|9|14|12|13|21|13|18|10|18|13|17|9|17|16|20|11|16|9|6|7|6|5|6|5|5|6|7|7|4|3|7|2|6|3|4|3|7|2|9|2|6|2|3|2|5|2|2|1|2|1|0|3|3|0|2|0|1|1|1|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|5|2|7|0|0|0|1956|2034|3990|
ตำบลสร้างนกทา|21|24|16|23|33|31|30|30|32|31|27|27|37|23|37|35|26|33|46|34|33|22|39|40|42|37|46|35|33|35|40|38|34|36|45|37|37|39|30|30|30|42|40|35|45|38|46|54|40|46|28|43|43|48|61|55|55|45|52|47|52|37|56|53|64|51|47|51|48|45|55|39|43|46|53|36|38|37|56|47|50|45|39|57|51|54|55|47|62|41|47|53|49|51|53|46|43|61|58|43|54|65|57|65|51|65|49|60|50|69|59|62|46|55|57|55|53|49|56|37|48|56|43|43|32|50|35|41|36|36|30|33|28|37|31|30|28|24|33|19|28|17|20|26|16|32|14|18|17|21|19|13|8|23|13|22|16|10|10|8|5|19|6|16|5|4|3|7|7|11|9|10|3|8|4|3|2|2|3|4|2|2|0|6|1|3|0|2|1|1|1|3|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|4|3|7|0|0|0|3236|3280|6516|
ตำบลคึมใหญ่|21|12|22|15|28|29|19|21|26|23|20|28|36|35|39|33|34|40|27|28|28|25|33|29|42|41|30|33|31|26|26|33|32|39|37|33|45|38|36|30|37|26|32|27|43|32|35|34|38|43|35|46|55|33|51|35|48|42|45|56|39|33|47|36|42|41|36|40|50|36|40|42|36|37|38|39|45|44|39|35|35|44|47|50|55|46|42|50|52|40|40|44|48|61|44|45|51|50|52|46|50|46|32|45|48|45|44|54|40|42|40|37|36|50|51|43|49|24|38|48|27|36|33|38|33|38|35|37|31|37|23|24|22|21|30|35|22|22|20|24|21|20|20|30|22|17|25|22|20|23|11|13|10|10|10|8|8|14|4|8|7|11|7|5|7|13|2|7|3|11|0|7|3|5|1|6|3|0|1|4|2|5|4|2|4|2|1|0|0|1|0|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|0|0|0|0|6|2|8|0|0|0|2816|2818|5634|
ตำบลนาผือ|21|25|27|18|32|27|33|36|26|23|28|22|33|31|28|30|32|26|32|33|35|22|39|25|37|37|35|28|38|40|44|20|33|40|31|40|36|35|46|31|36|37|43|27|39|34|33|34|43|32|45|50|58|58|57|61|50|44|52|46|56|56|60|31|49|47|60|34|57|35|47|29|52|38|52|41|52|39|38|50|38|41|61|60|42|44|55|40|50|52|40|42|55|54|43|33|50|57|53|66|55|61|51|64|52|56|42|72|62|53|64|67|54|47|57|64|59|39|57|56|33|54|39|42|50|43|44|60|24|42|42|31|32|43|30|49|27|28|37|32|21|30|28|31|24|31|21|24|33|23|17|21|7|26|7|19|12|25|10|23|7|9|5|10|7|9|3|7|5|9|4|3|4|4|3|8|0|7|4|6|5|2|2|4|1|3|1|2|2|3|1|0|0|3|1|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|6|3|9|0|0|0|3284|3252|6536|
